insufficiency:NN	অপর্যাপ্ততা
cause:NN	উৎপাদক
cause:NN	নিমিত্ত
cavity:NN	গহ্বর
cavity:NN	গর্ত
cavity:NN	খোল
causeway:NN	পাথরে বাঁধানো উঁচু রাস্তা
casket:NN	মণি-রত্নাদি রাখিবার ছোট বাক্স
choosy:NN	খুঁতখুঁতে
cartridge:NN	বন্দুকের টোটা
cartridge:NN	গুলি
cellophane:NN	সেলোফেন
cellophane:NN	স্বচ্ছ কাগজ
caution:NN	সতর্কীকরণ
choice:NN	পছন্দ
choice:NN	মনোনয়ন শক্তি
choice:NN	বাছাই করা বস্তু
cast-iron:NN	ঢালাই লোহা
carve:VV	খন্ড খন্ড করিয়া কাটা
carve:VV	ক্ষোদিত করা
caterer:NN	খাদ্য সরবরাহকারী
cavil:NN	তুচ্ছ আপত্তি
casting-net:JJ	খেপলা জাল
catching:VVG	সংক্রামক
catching:VVG	মুগ্ধকর
catching:VVG	আকর্ষণীয়
celibacy:NN	অবিবাহিত অবস্থা
celibacy:NN	কৌমার্য
chop:VV	টুকরো করে বা কুচি কুচি করে কাটা
cauterize:VV	উত্তপ্ত শলাকা দ্বারা পোড়ান
cateche:NN	প্রশ্নোত্তর-সম্বন্ধীয়
cementation:NN	সিমেন্ট দ্বারা সংযোজন
cathay:NP	চীনের প্রাচীন নাম
cassia:NN	দারুচিনি বিশেষ
casual:JJ	দৈবাৎ সংঘটিত
casual:JJ	সাময়িক
casual:JJ	অমনোযোগী
casualty:NN	দুর্ঘটনা
casualty:NN	দুর্ঘটনায় হতাহত ব্যক্তি
casualty:NN	যুদ্ধে হতাহত ব্যক্তি
chord:NN	ছিলা
chord:NN	জ্যা
celler:NN	ভূগর্ভস্থ ভান্ডার
celler:NN	কুঠুরি
celerity:NN	বেগ
celerity:NN	ক্ষিপ্রতা
categorical:JJ	বিভাগীয়
categorical:JJ	শ্রেণী সম্বন্ধীয়
categorical:JJ	স্পষ্ট
categorical:JJ	শর্তহীন
categorical:JJ	পরম
categorical:JJ	চরম
catter:NN	গাড়োয়ান
catchy:JJ	চিত্তাকর্ষক
catchy:JJ	সহজে ধরা যায় এমন
catchy:JJ	প্রতারণামূলক
cash-book:JJ	রোকড়
cash-book:JJ	জমা খরচের খাতা
choose:VV	বাছাই করা
choose:VV	পচন্দ করা
choose:VV	নির্বাচন করা
cave:NN	গহ্বর
cadaverous:JJ	মড়ার মত ফ্যাকাসে
cadaverous:JJ	বিকৃত
cater:VVP	খাদ্য সরবরাহ করা
cease:VV	শেষ হওয়া
cease:VV	শেষ করা
cease:VV	ক্ষান্ত হওয়া
quire:NN	গির্জার গায়কদল
cell:NN	ক্ষুদ্র কক্ষ
cash-register:JJ	প্রাপ্ত টাকাকড়ি লিপিবদ্ধ করিবার যন্ত্র বিশেষ
catch:VV	লোফা
catch:VV	পাকড়াও করা
catch:VV	সংক্রমিত হওয়া
catch:VV	বিজড়িত হওয়া
catgut:NN	তাঁত
cartouche:NN	টোটা রাখিবার পাত্র
catapult:VV	প্রাচীনযুগের পাথর ছুড়িবার যন্ত্র
ceaseless:JJ	অবিরাম
chorus:NN	গায়কদল
cascade:NN	জলপ্রপাত
castigate:VV	প্রহার করা
castigate:VV	তিরস্কার করা
castigate:VV	শাস্তি দেওয়া
catalogue:NN	তালিকা
caterwaul:NN	বিড়ালের ন্যায় চিংকার করা
caterwaul:NN	শ্রুতিকটু শব্দ করা
cartwright:NN	গাড়ি নির্মাতা
castle:NN	দুর্গ
castle:NN	দাবা খেলার নৌকা
casually:RB	দৈবাৎ
casually:RB	সাময়িকভাবে
catholicism:NN	ক্যাথিলিক ধর্ম
catechism:NN	প্রশ্নোত্তর দ্বারা শিক্ষাদান
catechism:NN	সংক্ষিপ্ত ধর্মশিক্ষা
cautious:JJ	সাবধান
cello:NN	বেহালাজাতীয় বাদ্যযন্ত্র বিশেষ
cellular:JJ	কোষবিশিষ্ট
cellular:JJ	কোষীয়
cellular:JJ	জালি
carver:NN	মাংস-কাটা ছুরি
carver:NN	ভাস্কর
celebrate:VV	ধর্মানুষ্ঠান করা
caterpillar:NN	গুটিপোকা
caterpillar:NN	শুয়াপোকা
cavalry:NN	অশ্বারোহী সৈন্যদল
celery:NN	সেলেরি
cat-eyed:JJ	বিড়ালচোখো
cat-eyed:JJ	অন্ধকারে দেখিতে সমর্থ
catastrophe:NN	চরম বিপর্যয়
caustic:JJ	দগ্ধকারক
caustic:JJ	দাহজনক
caustic:JJ	ক্ষয়কারক
caustic:JJ	তীব্র
caustic:JJ	মর্মান্তিক
